first_word,first_code_emoji,first_code,assigned_second_guess,max_num_second_word_in_strategy,is_bin_solved,n_answers_in_bin,bin_probability,assigned_score_entropy,selected_second_guess_list
CRANE,🟨⬛🟩🟩⬛,10220,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨⬛🟨🟨,11011,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨🟨⬛🟩,11102,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨🟩⬛🟩,11202,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛⬛🟨🟨,20011,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛⬛🟩🟩,20022,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟨🟨🟨,20111,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟨🟨🟩,20112,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟩🟨⬛,20210,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨⬛🟨⬛,21010,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨⬛🟩⬛,21020,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨🟨⬛🟩,21102,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨🟨🟨⬛,21110,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩⬛🟨⬛,22010,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩⬛🟩⬛,22020,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩⬛🟩🟩,22022,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩🟨⬛⬛,22100,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩🟩🟩⬛,22220,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩🟩🟩🟩,22222,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
